date,ibc_br_change,selic,selic_change,usd_brl_return,usd_brl_volatility,ipca_12m,pib_change_3m,unemployment,unemployment_change,target_stress,split
2025-03-31,0.0067971039058525,14.25,1.0,-0.0182259608808643,0.0280924629134486,5.06,0.0009412749045651,6.8,0.2999999999999998,0,test
2025-04-30,0.0050086945646343,14.25,0.0,-0.0141757514541465,0.0600455169643748,5.48,0.0009412749045651,7.0,0.2000000000000001,0,test
2025-05-31,0.0130254492055528,14.75,0.5,0.008461701526286,0.0308475365828952,5.53,0.0009412749045651,6.6,-0.4000000000000003,0,test
2025-06-30,-0.0041695060631335,15.0,0.25,-0.0440730814371048,0.0213434493887125,5.32,0.0126952614805915,6.2,-0.3999999999999994,0,test
2025-07-31,-0.0072578659195358,15.0,0.0,0.0265708893001779,0.0221944077470551,5.35,0.0126952614805915,5.8,-0.4000000000000003,0,test
2025-08-31,0.0008954613445706,15.0,0.0,-0.0313632387854554,0.0240649633674956,5.23,0.0126952614805915,5.6,-0.2000000000000001,0,test
2025-09-30,-0.0046069078089521,15.0,0.0,-0.0198658410732713,0.0215804353471411,5.13,0.0034048699958728,5.6,0.0,0,test
2025-10-31,0.0036802589815976,15.0,0.0,0.012352874816681,0.0261259470055275,5.17,0.0034048699958728,5.6,0.0,0,test
2025-11-30,-0.0007171027065341,15.0,0.0,-0.009379120777074,0.0226067565531456,4.68,0.0034048699958728,5.4,-0.1999999999999993,0,test
2025-12-31,0.0001171807812481,15.0,0.0,0.0316097341482619,0.0310742624799671,4.46,0.0009768637532132,5.2,-0.2000000000000001,0,test
2026-01-31,0.0046707716213676,15.0,0.0,-0.0494874963652223,0.0221944395475265,4.26,0.0009768637532132,5.1,-0.1000000000000005,0,test
2026-02-28,0.0020130626169483,15.0,0.0,-0.0154107952046806,0.0232183787917943,4.44,0.0009768637532132,5.4,0.3000000000000007,0,test
2026-03-31,0.0056201536577911,14.75,-0.25,0.0135741334110108,0.0388693866305128,3.81,0.0025681853202526,5.8,0.3999999999999994,0,test
2026-04-30,0.0063519397990181,14.5,-0.25,-0.0442196421044565,0.0283079758788311,4.14,0.0025681853202526,6.1,0.2999999999999998,0,test
2026-05-31,-0.0015180209469919,14.5,0.0,0.0136912159724171,0.0302949165669284,4.39,0.0025681853202526,5.8,-0.2999999999999998,0,test
2026-06-30,0.0026509016329339,14.25,-0.25,0.0236706282505092,0.0354226825954232,4.72,0.011014908550643,5.6,-0.2000000000000001,0,test
2026-07-31,0.0002719546088281,14.25,0.0,-0.0191824749835798,0.0195713650411206,4.64,0.011014908550643,5.4,-0.1999999999999993,0,test
